data,descricao,categoria,valor,tipo,tags
2025-07-01,"Empresa ABC - Salário",Salário,5500,credito,
2025-07-01,"Aluguel Apartamento",Moradia,-1800,debito,
2025-07-01,"Condomínio",Moradia,-320,debito,
2025-07-01,"Recarga Bilhete Único",Transporte,-120,debito,
2025-07-02,"Conta Energia Elétrica",Moradia,-180,debito,
2025-07-02,"Supermercado Extra",Alimentação,-420.5,debito,
2025-07-03,"Conta de Água e Esgoto",Moradia,-85,debito,
2025-07-03,"Drogaria São Paulo",Saúde,-42.3,debito,
2025-07-04,"Internet Fibra Óptica",Serviços,-120,debito,
2025-07-05,"Plano Celular",Serviços,-89.9,debito,
2025-07-05,"Uber para Centro",Transporte,-32.5,debito,
2025-07-06,"Plano de Saúde",Saúde,-280,debito,
2025-07-06,"Cinema Cinemark",Entretenimento,-45,debito,
2025-07-07,"Academia Bodytech",Saúde,-120,debito,
2025-07-07,"Estacionamento Shopping",Transporte,-15,debito,
2025-07-08,"Feira Orgânica",Alimentação,-85.3,debito,
2025-07-09,"Lanche Trabalho",Alimentação,-12.5,debito,
2025-07-09,"Farmácia Droga Raia",Saúde,-65.8,debito,
2025-07-10,"Padaria do Bairro",Alimentação,-45.8,debito,
2025-07-11,"Curso Online Udemy",Educação,-199.9,debito,
2025-07-11,"Material de Escritório",Trabalho,-55.8,debito,
2025-07-12,"Restaurante Japonês",Alimentação,-120,debito,
2025-07-12,"Combustível Posto Shell",Transporte,-180,debito,
2025-07-13,"Netflix Mensalidade",Entretenimento,-32.9,debito,
2025-07-14,"Spotify Premium",Entretenimento,-21.9,debito,
2025-07-14,"Conserto Celular",Serviços,-80,debito,
2025-07-15,"Freelance Projeto Web",Renda Extra,800,credito,
2025-07-15,"Supermercado Pão de Açúcar",Alimentação,-380.2,debito,
2025-07-15,"Recarga Bilhete Único",Transporte,-120,debito,
2025-07-16,"Mercado Municipal",Alimentação,-225.4,debito,
2025-07-16,"Loja C&A Roupas",Vestuário,-250,debito,
2025-07-17,"Show Rock in Rio",Entretenimento,-150,debito,
2025-07-18,"Cashback Cartão Crédito",Reembolso,25.5,credito,
2025-07-18,"Café da Manhã",Alimentação,-25.5,debito,
2025-07-19,"Amazon Brasil",Compras Online,-89.9,debito,
2025-07-20,"Reembolso Plano Saúde",Reembolso,150,credito,
2025-07-20,"Delivery Burger",Alimentação,-65,debito,
2025-07-20,"Táxi Aeroporto",Transporte,-85,debito,
2025-07-21,"Consulta Dermatologista",Saúde,-180,debito,
2025-07-22,"Açougue Premium",Alimentação,-95.4,debito,
2025-07-22,"Correios Sedex",Serviços,-18.9,debito,
2025-07-23,"Mercado Livre",Compras Online,-145.5,debito,
2025-07-24,"Bar com Amigos",Entretenimento,-85.6,debito,
2025-07-25,"Venda Produto Usado",Renda Extra,200,credito,
2025-07-25,"Lanchonete Subway",Alimentação,-18.9,debito,
2025-07-25,"Uber Shopping Center",Transporte,-28.7,debito,
2025-07-26,"Livraria Saraiva",Entretenimento,-75.5,debito,
2025-07-27,"Salão de Beleza",Cuidados Pessoais,-120,debito,
2025-07-28,"Mercado Orgânico",Alimentação,-145.6,debito,
2025-07-29,"Presente Aniversário",Presentes,-95,debito,
